title,original_language,release_date,popularity,budget,revenue,runtime,status,genres
Vamps,en,8/25/2012,19.664,16000000,0,93,Released,"Comedy, Horror, Romance"
V/H/S/2,en,6/6/2013,19.644,0,21833,96,Released,"Horror, Thriller"
Honeymoon,en,9/12/2014,19.58,1000000,9318,88,Released,"Horror, Science Fiction"
High Lane,fr,6/24/2009,19.573,0,2141798,90,Released,"Action, Horror, Thriller"
The Final,en,1/28/2010,19.573,1000000,0,93,Released,"Horror, Thriller"
The Possession of Michael King,en,8/14/2014,19.566,0,2405143,83,Released,Horror
Mara,en,8/22/2018,19.548,5000000,470901,100,Released,"Crime, Horror, Thriller"
Lake Placid vs. Anaconda,en,4/25/2015,19.536,0,0,92,Released,"Action, Horror"
Bone Tomahawk,en,10/23/2015,19.534,1800000,0,133,Released,"Horror, Western"
The Grudge,en,1/1/2020,19.517,10000000,42800000,93,Released,"Horror, Mystery"
The Blob,en,8/5/1988,19.514,19000000,8247943,95,Released,"Horror, Science Fiction"
Lords of Chaos,en,9/20/2018,19.498,0,365353,118,Released,"Drama, Horror, Music, Thriller"
Green Room,en,9/25/2015,19.49,5000000,3769214,95,Released,"Crime, Horror, Thriller"
Prey,en,5/18/2007,19.43,0,3643652,92,Released,"Adventure, Horror, Thriller"
Armed Response,en,8/4/2017,19.422,0,52036,93,Released,"Action, Horror, Thriller"
Z,en,9/19/2019,19.404,0,0,83,Released,"Horror, Thriller"
Amulet,en,7/24/2020,19.391,0,0,99,Released,Horror
The Frighteners,en,7/18/1996,19.365,30000000,29359216,110,Released,"Comedy, Horror"
Lake Placid: Legacy,en,5/28/2018,19.335,0,0,90,Released,"Action, Horror, Science Fiction, TV Movie"
The Candy Witch,en,6/4/2020,19.328,0,0,94,Released,Horror
Silver Bullet,en,10/10/1985,19.296,7000000,12400000,95,Released,Horror
Tusk,en,9/19/2014,19.296,3000000,1882074,102,Released,"Comedy, Horror"
Deep Blue Sea,en,7/28/1999,19.294,60000000,164648142,105,Released,"Action, Horror, Science Fiction"
In Fabric,en,12/6/2018,19.286,0,0,118,Released,"Comedy, Fantasy, Horror"
Doom,en,10/20/2005,19.26,60000000,58072119,105,Released,"Action, Horror, Science Fiction"
Sometimes They Come Back,en,5/7/1991,19.232,0,0,97,Released,"Horror, TV Movie"
Color Out of Space,en,9/7/2019,19.181,6000000,1023510,111,Released,"Horror, Mystery, Science Fiction, Thriller"
We Are the Flesh,es,2/2/2016,19.159,0,0,79,Released,"Drama, Fantasy, Horror"
Ghost of Goodnight Lane,en,6/10/2014,19.145,0,0,97,Released,"Comedy, Horror"
ClownTown,en,6/27/2016,19.125,0,0,86,Released,"Horror, Thriller"
Open Water,en,8/6/2004,19.112,130000,54667954,79,Released,"Drama, Horror, Thriller"
Hide and Seek,en,1/27/2005,19.095,30000000,127369981,101,Released,"Horror, Mystery"
St. Agatha,en,4/20/2018,19.047,0,0,103,Released,"Horror, Thriller"
The Prodigy,en,2/6/2019,19.045,6000000,21150265,92,Released,"Horror, Thriller"
Orca,en,7/22/1977,19.033,6000000,14717854,92,Released,"Adventure, Horror"
Friend Request,en,1/7/2016,19.032,9900000,10975390,92,Released,"Horror, Thriller"
Dark Skies,en,2/21/2013,18.95,3500000,25174316,97,Released,"Horror, Science Fiction, Thriller"
The Recall,en,6/2/2017,18.926,5000000,1319566,91,Released,"Horror, Science Fiction"
Tempus Tormentum,en,4/17/2018,18.916,0,0,81,Released,"Horror, Thriller"
The Haunted,en,10/13/2018,18.913,0,0,75,Released,"Horror, Mystery, Thriller"
Alien Outbreak,en,2/11/2020,18.908,0,0,84,Released,"Horror, Science Fiction"
Thinner,en,10/25/1996,18.872,0,0,92,Released,"Horror, Thriller"
Julia X,en,9/24/2011,18.868,4000000,0,92,Released,Horror
The Lords of Salem,en,9/10/2012,18.862,1500000,1165882,101,Released,"Horror, Thriller"
Wishmaster 4: The Prophecy Fulfilled,en,6/10/2002,18.827,500000,0,92,Released,"Fantasy, Horror"
31,en,9/15/2016,18.82,1500000,850419,102,Released,"Crime, Horror"
The Grudge 3,en,5/12/2009,18.813,5000000,38610009,90,Released,"Horror, Mystery, Thriller"
Possessor Uncut,en,10/2/2020,18.804,0,841334,104,Released,"Horror, Science Fiction, Thriller"
